Дистанция_км,Высота_м,Уклон_проценты
64.625,92.0,0.73
64.762,93.0,0.24
64.899,93.33,0.73
65.036,94.33,0.0
65.173,94.33,-0.49
65.309,93.67,-0.49
65.446,93.0,-0.24
65.583,92.67,-0.49
65.72,92.0,-0.49
65.857,91.33,-0.24
65.994,91.0,0.73
66.131,92.0,0.49
66.267,92.67,0.49
66.404,93.33,1.71
66.541,95.67,2.68
66.678,99.33,4.38
66.815,105.33,7.06
66.952,115.0,7.79
67.088,125.67,7.55
67.225,136.0,7.06
67.362,145.67,11.2
67.499,161.0,4.63
67.636,167.33,-1.71
67.773,165.0,-7.79
67.91,154.33,-2.19
68.046,151.33,4.14
68.183,157.0,0.73
68.32,158.0,
